Loaded 10 LoCoMo conversations

======================================================================
INGESTION: MEM0
Output: /Users/shubhtrivedi/Desktop/aurra/benchmarks/locomo/results/ingestion_mem0.json
======================================================================

[mem0] [1/10] conv-26 — Caroline & Melanie
   ✓ session 1/19 (18 msgs, 30.4s, +0 mems)
   ✓ session 17/19 (21 msgs, 31.4s, +0 mems)
   ✓ session 18/19 (22 msgs, 30.6s, +0 mems)
   ✓ session 19/19 (14 msgs, 30.7s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-30 complete: 19/19 sessions OK, 14 memories stored, 590.0s total

[mem0] [3/10] conv-41 — John & Maria
   ✓ session 1/32 (16 msgs, 30.4s, +0 mems)
   ✓ session 2/32 (28 msgs, 30.6s, +0 mems)
   ✓ session 3/32 (17 msgs, 30.9s, +0 mems)
   ✓ session 4/32 (26 msgs, 30.6s, +0 mems)
   ✓ session 5/32 (16 msgs, 30.8s, +0 mems)
   ✓ session 6/32 (22 msgs, 31.2s, +0 mems)
   ✓ session 7/32 (17 msgs, 31.2s, +0 mems)
   ✓ session 8/32 (26 msgs, 30.7s, +0 mems)
   ✓ session 9/32 (18 msgs, 30.9s, +0 mems)
   ✓ session 10/32 (18 msgs, 30.8s, +0 mems)
   ✓ session 11/32 (21 msgs, 31.0s, +0 mems)
   ✓ session 12/32 (23 msgs, 30.5s, +0 mems)
   ✓ session 13/32 (37 msgs, 30.6s, +0 mems)
   ✓ session 14/32 (23 msgs, 30.6s, +0 mems)
   ✓ session 15/32 (19 msgs, 30.7s, +0 mems)
   ✓ session 16/32 (19 msgs, 30.6s, +0 mems)
   ✓ session 17/32 (16 msgs, 30.7s, +0 mems)
   ✓ session 18/32 (23 msgs, 30.7s, +0 mems)
   ✓ session 19/32 (26 msgs, 30.6s, +0 mems)
   ✓ session 20/32 (18 msgs, 30.6s, +0 mems)
   ✓ session 21/32 (29 msgs, 30.7s, +0 mems)
   ✓ session 22/32 (21 msgs, 30.8s, +0 mems)
   ✓ session 23/32 (14 msgs, 30.8s, +0 mems)
   ✓ session 24/32 (17 msgs, 30.6s, +0 mems)
   ✓ session 25/32 (20 msgs, 30.6s, +0 mems)
   ✓ session 26/32 (17 msgs, 30.9s, +0 mems)
   ✓ session 27/32 (16 msgs, 30.7s, +0 mems)
   ✓ session 28/32 (19 msgs, 30.6s, +0 mems)
   ✓ session 29/32 (18 msgs, 30.8s, +0 mems)
   ✓ session 30/32 (23 msgs, 30.5s, +0 mems)
   ✓ session 31/32 (23 msgs, 30.5s, +0 mems)
   ✓ session 32/32 (17 msgs, 30.5s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-41 complete: 32/32 sessions OK, 53 memories stored, 984.0s total

[mem0] [4/10] conv-42 — Joanna & Nate
   ✓ session 1/29 (22 msgs, 30.3s, +0 mems)
   ✓ session 2/29 (29 msgs, 30.6s, +0 mems)
   ✓ session 3/29 (25 msgs, 30.6s, +0 mems)
   ✓ session 4/29 (19 msgs, 30.8s, +0 mems)
   ✓ session 5/29 (21 msgs, 30.6s, +0 mems)
   ✓ session 6/29 (13 msgs, 30.5s, +0 mems)
   ✓ session 7/29 (13 msgs, 30.5s, +0 mems)
   ✓ session 8/29 (22 msgs, 30.6s, +0 mems)
   ✓ session 9/29 (18 msgs, 30.6s, +0 mems)
   ✓ session 10/29 (16 msgs, 30.6s, +0 mems)
   ✓ session 11/29 (20 msgs, 30.6s, +0 mems)
   ✓ session 12/29 (19 msgs, 30.6s, +0 mems)
   ✓ session 13/29 (23 msgs, 31.0s, +0 mems)
   ✓ session 14/29 (27 msgs, 30.7s, +0 mems)
   ✓ session 15/29 (17 msgs, 30.5s, +0 mems)
   ✓ session 16/29 (16 msgs, 30.7s, +0 mems)
   ✓ session 17/29 (21 msgs, 30.7s, +0 mems)
   ✓ session 18/29 (16 msgs, 30.6s, +0 mems)
   ✓ session 19/29 (22 msgs, 30.6s, +0 mems)
   ✓ session 20/29 (19 msgs, 30.6s, +0 mems)
   ✓ session 21/29 (20 msgs, 30.6s, +0 mems)
   ✓ session 22/29 (23 msgs, 30.6s, +0 mems)
   ✓ session 23/29 (30 msgs, 30.6s, +0 mems)
   ✓ session 24/29 (19 msgs, 30.7s, +0 mems)
   ✓ session 25/29 (29 msgs, 30.5s, +0 mems)
   ✓ session 26/29 (24 msgs, 30.6s, +0 mems)
   ✓ session 27/29 (38 msgs, 30.6s, +0 mems)
   ✓ session 28/29 (33 msgs, 30.5s, +0 mems)
   ✓ session 29/29 (15 msgs, 30.7s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-42 complete: 29/29 sessions OK, 100 memories stored, 889.2s total

[mem0] [5/10] conv-43 — Tim & John
   ✓ session 1/29 (20 msgs, 30.3s, +0 mems)
   ✓ session 2/29 (19 msgs, 30.6s, +0 mems)
   ✓ session 3/29 (35 msgs, 30.5s, +0 mems)
   ✓ session 4/29 (15 msgs, 30.7s, +0 mems)
   ✓ session 5/29 (20 msgs, 30.5s, +0 mems)
   ✓ session 6/29 (23 msgs, 30.6s, +0 mems)
   ✓ session 7/29 (16 msgs, 30.5s, +0 mems)
   ✓ session 8/29 (37 msgs, 30.8s, +0 mems)
   ✓ session 9/29 (15 msgs, 30.5s, +0 mems)
   ✓ session 10/29 (17 msgs, 30.9s, +0 mems)
   ✓ session 11/29 (30 msgs, 30.6s, +0 mems)
   ✓ session 12/29 (29 msgs, 30.6s, +0 mems)
   ✓ session 13/29 (22 msgs, 30.6s, +0 mems)
   ✓ session 14/29 (23 msgs, 30.7s, +0 mems)
   ✓ session 15/29 (38 msgs, 30.7s, +0 mems)
   ✓ session 16/29 (17 msgs, 30.6s, +0 mems)
   ✓ session 17/29 (19 msgs, 30.6s, +0 mems)
   ✓ session 18/29 (15 msgs, 30.6s, +0 mems)
   ✓ session 19/29 (23 msgs, 30.7s, +0 mems)
   ✓ session 20/29 (43 msgs, 30.7s, +0 mems)
   ✓ session 21/29 (19 msgs, 30.6s, +0 mems)
   ✓ session 22/29 (18 msgs, 30.6s, +0 mems)
   ✓ session 23/29 (16 msgs, 30.6s, +0 mems)
   ✓ session 24/29 (20 msgs, 30.5s, +0 mems)
   ✓ session 25/29 (17 msgs, 30.5s, +0 mems)
   ✓ session 26/29 (38 msgs, 30.5s, +0 mems)
   ✓ session 27/29 (40 msgs, 30.6s, +0 mems)
   ✓ session 28/29 (21 msgs, 30.6s, +0 mems)
   ✓ session 29/29 (15 msgs, 30.7s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-43 complete: 29/29 sessions OK, 66 memories stored, 888.8s total

[mem0] [6/10] conv-44 — Audrey & Andrew
   ✓ session 1/28 (24 msgs, 30.5s, +0 mems)
   ✓ session 2/28 (26 msgs, 30.8s, +0 mems)
   ✓ session 3/28 (31 msgs, 30.5s, +0 mems)
   ✓ session 4/28 (30 msgs, 30.6s, +0 mems)
   ✓ session 5/28 (22 msgs, 30.7s, +0 mems)
   ✓ session 6/28 (16 msgs, 30.5s, +0 mems)
   ✓ session 7/28 (13 msgs, 30.6s, +0 mems)
   ✓ session 8/28 (28 msgs, 30.7s, +0 mems)
   ✓ session 9/28 (27 msgs, 30.5s, +0 mems)
   ✓ session 10/28 (29 msgs, 30.5s, +0 mems)
   ✓ session 11/28 (38 msgs, 30.7s, +0 mems)
   ✓ session 12/28 (17 msgs, 30.8s, +0 mems)
   ✓ session 13/28 (16 msgs, 30.7s, +0 mems)
   ✓ session 14/28 (27 msgs, 30.7s, +0 mems)
   ✓ session 15/28 (19 msgs, 30.5s, +0 mems)
   ✓ session 16/28 (19 msgs, 30.6s, +0 mems)
   ✓ session 17/28 (21 msgs, 30.6s, +0 mems)
   ✓ session 18/28 (22 msgs, 30.7s, +0 mems)
   ✓ session 19/28 (30 msgs, 30.6s, +0 mems)
   ✓ session 20/28 (40 msgs, 30.6s, +0 mems)
   ✓ session 21/28 (18 msgs, 30.6s, +0 mems)
   ✓ session 22/28 (13 msgs, 30.6s, +0 mems)
   ✓ session 23/28 (28 msgs, 30.6s, +0 mems)
   ✓ session 24/28 (22 msgs, 30.5s, +0 mems)
   ✓ session 25/28 (16 msgs, 30.6s, +0 mems)
   ✓ session 26/28 (47 msgs, 30.8s, +0 mems)
   ✓ session 27/28 (18 msgs, 30.5s, +0 mems)
   ✓ session 28/28 (18 msgs, 30.5s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-44 complete: 28/28 sessions OK, 47 memories stored, 858.4s total

[mem0] [7/10] conv-47 — James & John
   ✓ session 1/31 (37 msgs, 30.5s, +0 mems)
   ✓ session 2/31 (21 msgs, 30.7s, +0 mems)
   ✓ session 3/31 (23 msgs, 30.5s, +0 mems)
   ✓ session 4/31 (25 msgs, 30.5s, +0 mems)
   ✓ session 5/31 (16 msgs, 30.6s, +0 mems)
   ✓ session 6/31 (19 msgs, 30.5s, +0 mems)
   ✓ session 7/31 (21 msgs, 30.5s, +0 mems)
   ✓ session 8/31 (40 msgs, 30.8s, +0 mems)
   ✓ session 9/31 (25 msgs, 30.7s, +0 mems)
   ✓ session 10/31 (15 msgs, 30.6s, +0 mems)
   ✓ session 11/31 (19 msgs, 30.6s, +0 mems)
   ✓ session 12/31 (14 msgs, 30.6s, +0 mems)
   ✓ session 13/31 (20 msgs, 30.5s, +0 mems)
   ✓ session 14/31 (34 msgs, 30.6s, +0 mems)
   ✓ session 15/31 (19 msgs, 30.6s, +0 mems)
   ✓ session 16/31 (16 msgs, 30.5s, +0 mems)
   ✓ session 17/31 (37 msgs, 30.7s, +0 mems)
   ✓ session 18/31 (20 msgs, 30.6s, +0 mems)
   ✓ session 19/31 (17 msgs, 30.6s, +0 mems)
   ✓ session 20/31 (22 msgs, 30.6s, +0 mems)
   ✓ session 21/31 (19 msgs, 30.9s, +0 mems)
   ✓ session 22/31 (19 msgs, 30.6s, +0 mems)
   ✓ session 23/31 (21 msgs, 30.5s, +0 mems)
   ✓ session 24/31 (21 msgs, 30.6s, +0 mems)
   ✓ session 25/31 (25 msgs, 30.5s, +0 mems)
   ✓ session 26/31 (15 msgs, 30.7s, +0 mems)
   ✓ session 27/31 (14 msgs, 30.5s, +0 mems)
   ✓ session 28/31 (35 msgs, 30.6s, +0 mems)
   ✓ session 29/31 (16 msgs, 30.6s, +0 mems)
   ✓ session 30/31 (19 msgs, 30.5s, +0 mems)
   ✓ session 31/31 (25 msgs, 30.6s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-47 complete: 31/31 sessions OK, 100 memories stored, 949.8s total

[mem0] [8/10] conv-48 — Deborah & Jolene
   ✓ session 1/30 (18 msgs, 30.5s, +0 mems)
   ✓ session 2/30 (32 msgs, 30.8s, +0 mems)
   ✓ session 3/30 (15 msgs, 30.5s, +0 mems)
   ✓ session 4/30 (44 msgs, 30.5s, +0 mems)
   ✓ session 5/30 (17 msgs, 30.7s, +0 mems)
   ✓ session 6/30 (16 msgs, 30.7s, +0 mems)
   ✓ session 7/30 (23 msgs, 30.5s, +0 mems)
   ✓ session 8/30 (23 msgs, 30.7s, +0 mems)
   ✓ session 9/30 (20 msgs, 30.6s, +0 mems)
   ✓ session 10/30 (24 msgs, 30.6s, +0 mems)
   ✓ session 11/30 (14 msgs, 30.7s, +0 mems)
   ✓ session 12/30 (16 msgs, 30.6s, +0 mems)
   ✓ session 13/30 (27 msgs, 30.6s, +0 mems)
   ✓ session 14/30 (23 msgs, 30.6s, +0 mems)
   ✓ session 15/30 (39 msgs, 30.8s, +0 mems)
   ✓ session 16/30 (20 msgs, 30.5s, +0 mems)
   ✓ session 17/30 (15 msgs, 30.6s, +0 mems)
   ✓ session 18/30 (15 msgs, 30.6s, +0 mems)
   ✓ session 19/30 (24 msgs, 30.7s, +0 mems)
   ✓ session 20/30 (26 msgs, 30.7s, +0 mems)
   ✓ session 21/30 (17 msgs, 30.5s, +0 mems)
   ✓ session 22/30 (30 msgs, 30.5s, +0 mems)
   ✓ session 23/30 (32 msgs, 30.8s, +0 mems)
   ✓ session 24/30 (15 msgs, 30.5s, +0 mems)
   ✓ session 25/30 (20 msgs, 30.5s, +0 mems)
   ✓ session 26/30 (21 msgs, 30.7s, +0 mems)
   ✓ session 27/30 (13 msgs, 30.6s, +0 mems)
   ✓ session 28/30 (30 msgs, 30.6s, +0 mems)
   ✓ session 29/30 (34 msgs, 30.6s, +0 mems)
   ✓ session 30/30 (18 msgs, 30.6s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-48 complete: 30/30 sessions OK, 100 memories stored, 919.8s total

[mem0] [9/10] conv-49 — Evan & Sam
   ✓ session 1/25 (22 msgs, 30.4s, +0 mems)
   ✓ session 2/25 (17 msgs, 30.6s, +0 mems)
   ✓ session 3/25 (18 msgs, 30.6s, +0 mems)
   ✓ session 4/25 (20 msgs, 30.6s, +0 mems)
   ✓ session 5/25 (25 msgs, 30.7s, +0 mems)
   ✓ session 6/25 (19 msgs, 30.5s, +0 mems)
   ✓ session 7/25 (16 msgs, 30.5s, +0 mems)
   ✓ session 8/25 (33 msgs, 30.7s, +0 mems)
   ✓ session 9/25 (19 msgs, 30.5s, +0 mems)
   ✓ session 10/25 (14 msgs, 30.7s, +0 mems)
   ✓ session 11/25 (20 msgs, 30.6s, +0 mems)
   ✓ session 12/25 (17 msgs, 30.6s, +0 mems)
   ✓ session 13/25 (16 msgs, 30.6s, +0 mems)
   ✓ session 14/25 (16 msgs, 30.7s, +0 mems)
   ✓ session 15/25 (18 msgs, 30.6s, +0 mems)
   ✓ session 16/25 (24 msgs, 30.7s, +0 mems)
   ✓ session 17/25 (28 msgs, 30.6s, +0 mems)
   ✓ session 18/25 (15 msgs, 30.5s, +0 mems)
   ✓ session 19/25 (15 msgs, 30.6s, +0 mems)
   ✓ session 20/25 (17 msgs, 30.7s, +0 mems)
   ✓ session 21/25 (22 msgs, 30.7s, +0 mems)
   ✓ session 22/25 (21 msgs, 30.7s, +0 mems)
   ✓ session 23/25 (33 msgs, 30.5s, +0 mems)
   ✓ session 24/25 (24 msgs, 30.7s, +0 mems)
   ✓ session 25/25 (20 msgs, 30.6s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-49 complete: 25/25 sessions OK, 100 memories stored, 766.9s total

[mem0] [10/10] conv-50 — Calvin & Dave
   ✓ session 1/30 (19 msgs, 30.3s, +0 mems)
   ✓ session 2/30 (21 msgs, 30.5s, +0 mems)
   ✓ session 3/30 (18 msgs, 30.6s, +0 mems)
   ✓ session 4/30 (28 msgs, 30.5s, +0 mems)
   ✓ session 5/30 (15 msgs, 30.9s, +0 mems)
   ✓ session 6/30 (18 msgs, 30.5s, +0 mems)
   ✓ session 7/30 (19 msgs, 30.6s, +0 mems)
   ✓ session 8/30 (14 msgs, 30.6s, +0 mems)
   ✓ session 9/30 (21 msgs, 30.5s, +0 mems)
   ✓ session 10/30 (17 msgs, 30.6s, +0 mems)
   ✓ session 11/30 (14 msgs, 30.6s, +0 mems)
   ✓ session 12/30 (17 msgs, 30.6s, +0 mems)
   ✓ session 13/30 (19 msgs, 30.5s, +0 mems)
   ✓ session 14/30 (16 msgs, 30.6s, +0 mems)
   ✓ session 15/30 (15 msgs, 30.6s, +0 mems)
   ✓ session 16/30 (25 msgs, 30.5s, +0 mems)
   ✓ session 17/30 (10 msgs, 30.7s, +0 mems)
   ✓ session 18/30 (16 msgs, 30.6s, +0 mems)
   ✓ session 19/30 (12 msgs, 30.6s, +0 mems)
   ✓ session 20/30 (17 msgs, 30.7s, +0 mems)
   ✓ session 21/30 (18 msgs, 30.5s, +0 mems)
   ✓ session 22/30 (14 msgs, 30.6s, +0 mems)
   ✓ session 23/30 (18 msgs, 30.6s, +0 mems)
   ✓ session 24/30 (23 msgs, 30.6s, +0 mems)
   ✓ session 25/30 (31 msgs, 30.6s, +0 mems)
   ✓ session 26/30 (15 msgs, 30.6s, +0 mems)
   ✓ session 27/30 (13 msgs, 30.5s, +0 mems)
   ✓ session 28/30 (43 msgs, 30.5s, +0 mems)
   ✓ session 29/30 (18 msgs, 30.8s, +0 mems)
   ✓ session 30/30 (24 msgs, 30.8s, +0 mems)
   ⏳ Waiting for indexing (up to 120s)...
   📥 Fetching all stored memories...
   📊 conv-50 complete: 30/30 sessions OK, 100 memories stored, 919.1s total

======================================================================
MEM0 DONE: 10 convs, 780 total memories, 150.5 min
======================================================================

✅ All ingestion complete.
Results saved to: /Users/shubhtrivedi/Desktop/aurra/benchmarks/locomo/results
