
======================================================================
SCORING: AURRA
   📊 conv-44: 43.1% useful, 54.0% halluc, 2.9% junk

[aurra] conv-47 — 332 memories to classify
   classified 10/332
   classified 20/332
   classified 30/332
   classified 40/332
   classified 50/332
   classified 60/332
   classified 70/332
   classified 80/332
   classified 90/332
   classified 100/332
   classified 110/332
   classified 120/332
   classified 130/332
   classified 140/332
   classified 150/332
   classified 160/332
   classified 170/332
   classified 180/332
   classified 190/332
   classified 200/332
   classified 210/332
   classified 220/332
   classified 230/332
   classified 240/332
   classified 250/332
   classified 260/332
   classified 270/332
   classified 280/332
   classified 290/332
   classified 300/332
   classified 310/332
   classified 320/332
   classified 330/332
   classified 332/332
   📊 conv-47: 34.9% useful, 63.6% halluc, 1.5% junk

[aurra] conv-48 — 292 memories to classify
   classified 10/292
   classified 20/292
   classified 30/292
   classified 40/292
   classified 50/292
   classified 60/292
   classified 70/292
   classified 80/292
   classified 90/292
   classified 100/292
   classified 110/292
   classified 120/292
   classified 130/292
   classified 140/292
   classified 150/292
   classified 160/292
   classified 170/292
   classified 180/292
   classified 190/292
   classified 200/292
   classified 210/292
   classified 220/292
   classified 230/292
   classified 240/292
   classified 250/292
   classified 260/292
   classified 270/292
   classified 280/292
   classified 290/292
   classified 292/292
   📊 conv-48: 44.5% useful, 51.7% halluc, 3.4% junk

[aurra] conv-49 — 236 memories to classify
   classified 10/236
   classified 20/236
   classified 30/236
   classified 40/236
   classified 50/236
   classified 60/236
   classified 70/236
   classified 80/236
   classified 90/236
   classified 100/236
   classified 110/236
   classified 120/236
   classified 130/236
   classified 140/236
   classified 150/236
   classified 160/236
   classified 170/236
   classified 180/236
   classified 190/236
   classified 200/236
   classified 210/236
   classified 220/236
   classified 230/236
   classified 236/236
   📊 conv-49: 47.0% useful, 50.4% halluc, 1.7% junk

[aurra] conv-50 — 273 memories to classify
   classified 10/273
   classified 20/273
   classified 30/273
   classified 40/273
   classified 50/273
   classified 60/273
   classified 70/273
   classified 80/273
   classified 90/273
   classified 100/273
   classified 110/273
   classified 120/273
   classified 130/273
   classified 140/273
   classified 150/273
   classified 160/273
   classified 170/273
   classified 180/273
   classified 190/273
   classified 200/273
   classified 210/273
   classified 220/273
   classified 230/273
   classified 240/273
   classified 250/273
   classified 260/273
   classified 270/273
   classified 273/273
   📊 conv-50: 46.5% useful, 50.2% halluc, 3.3% junk

======================================================================
AURRA AGGREGATE: 2685 memories
  Useful:        1139 (42.4%)
  Hallucinated:  1485 (55.3%)
  Junk:            71 (2.6%)
  Misattributed:   45 (1.7%)
======================================================================

✅ Saved /Users/shubhtrivedi/Desktop/aurra/benchmarks/locomo/results/junk_score_aurra.json
